"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"document3.pdf"	".pdf"	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:51 WIB"	"2011-02-02 15:09:50 WIB"	"10091"	"20"	"4c783e2d5973a6683cb5c93fcae7e76b"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/document3.pdf"
"document3.pdf-slack"	".pdf-slack"	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:51 WIB"	"2011-02-02 15:09:50 WIB"	"149"	"20"	"null"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/document3.pdf-slack"
"document3.txt"	".txt"	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:51 WIB"	"2011-02-02 15:09:50 WIB"	"52"	"22"	"156910852b0240e3d8b1e8eb4312d0a6"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/document3.txt"
"document3.txt-slack"	".txt-slack"	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:51 WIB"	"2011-02-02 15:09:50 WIB"	"972"	"22"	"null"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/document3.txt-slack"
"testfile_pdf.pdf"	".pdf"	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:51 WIB"	"2011-02-02 15:09:50 WIB"	"22587"	"25"	"9351e9220b5dd959036e82d64c55100a"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/testfile_pdf.pdf"
"testfile_pdf.pdf-slack"	".pdf-slack"	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:51 WIB"	"2011-02-02 15:09:50 WIB"	"965"	"25"	"null"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/testfile_pdf.pdf-slack"
"testfilex.docx"	".docx"	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:51 WIB"	"2011-02-02 15:09:50 WIB"	"27254"	"28"	"28d77be385b0aff76dd3715164a39c30"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/testfilex.docx"
"testfilex.docx-slack"	".docx-slack"	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:51 WIB"	"2011-02-02 15:09:50 WIB"	"394"	"28"	"null"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/testfilex.docx-slack"
"testfilex.pdf"	".pdf"	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:51 WIB"	"2011-02-02 15:09:50 WIB"	"23464"	"30"	"772e0d32f3a33a363875005800c4d9b2"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/testfilex.pdf"
"testfilex.pdf-slack"	".pdf-slack"	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:51 WIB"	"2011-02-02 15:09:50 WIB"	"88"	"30"	"null"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/testfilex.pdf-slack"
"workbook1.xls"	".xls"	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:51 WIB"	"2011-02-02 15:09:50 WIB"	"19968"	"32"	"606c41b9b739ea91da394940550e0287"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/workbook1.xls"
"workbook1.xls-slack"	".xls-slack"	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:51 WIB"	"2011-02-02 15:09:50 WIB"	"512"	"32"	"null"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/workbook1.xls-slack"
"workbook2.xlsx"	".xlsx"	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:51 WIB"	"2011-02-02 15:09:50 WIB"	"42595"	"35"	"00ec0c4f5354b2a854c05379c0b14b1b"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/workbook2.xlsx"
"workbook2.xlsx-slack"	".xlsx-slack"	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:51 WIB"	"2011-02-02 15:09:50 WIB"	"413"	"35"	"null"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/workbook2.xlsx-slack"
"iwork_09.pages"	".pages"	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:51 WIB"	"2011-02-02 15:09:50 WIB"	"39367"	"38"	"00360eca090db4376846ba682c3cf9fa"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/iwork_09.pages"
"iwork_09.pages-slack"	".pages-slack"	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:51 WIB"	"2011-02-02 15:09:50 WIB"	"569"	"38"	"null"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/iwork_09.pages-slack"
"keynote_09.key"	".key"	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:51 WIB"	"2011-02-02 15:09:50 WIB"	"228590"	"41"	"6d6734bce0677563917c10c2a1dff63b"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/keynote_09.key"
"keynote_09.key-slack"	".key-slack"	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:51 WIB"	"2011-02-02 15:09:50 WIB"	"786"	"41"	"null"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/keynote_09.key-slack"
"numbers_09.numbers"	".numbers"	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:51 WIB"	"2011-02-02 15:09:50 WIB"	"85880"	"44"	"5fdede367a4a37fec09c015725a611f4"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/numbers_09.numbers"
